activity,date_time_start,date_time_end,duration
Teste de atividade,2023-09-21 22:56:17.066188-03:00,2023-09-21 23:06:18.116159-03:00,0 days 00:10:01.049971
Teste de atividade,2023-09-21 22:49:36.233664-03:00,2023-09-21 22:56:17.066188-03:00,0 days 00:06:40.832524
Aplicativo de Diário de Atividades,2023-09-21 22:47:22.050122-03:00,2023-09-21 22:49:36.233664-03:00,0 days 00:02:14.183542
Aplicativo de Diário de Atividades,2023-09-21 22:46:07.549256-03:00,2023-09-21 22:47:22.050122-03:00,0 days 00:01:14.500866
Jantar peixe,2023-09-21 22:44:02.468269-03:00,2023-09-21 22:46:07.549256-03:00,0 days 00:02:05.080987
Aplicativo de Diário de Atividades,2023-09-21 22:39:35.890680-03:00,2023-09-21 22:44:02.468269-03:00,0 days 00:04:26.577589
Jantar peixe,2023-09-21 22:37:35.696773-03:00,2023-09-21 22:39:35.890680-03:00,0 days 00:02:00.193907
Aplicativo de Diário de Atividades,2023-09-21 22:37:35.696773-03:00,2023-09-21 22:37:35.696773-03:00,0 days
